ON023021.1_SEVAD_B1-B.p1733_consensus	ON023021.1_SEVAD_B1-B.p1733_consensus	100.000	298	0	0	1	298	1	298	1.81e-157	551
ON023021.1_SEVAD_B1-B.p1733_consensus	ON023021.1_SEVAD_B1-B.p1733_consensus	100.000	254	0	0	2300	2553	2300	2553	5.22e-133	470
ON023021.1_SEVAD_B1-B.p1733_consensus	ON023021.1_SEVAD_B1-B.p1733_consensus	100.000	151	0	0	1018	1168	1018	1168	9.44e-76	279
ON023021.1_SEVAD_B1-B.p1733_consensus	ON023021.1_SEVAD_B1-B.p1733_consensus	100.000	151	0	0	1291	1441	1291	1441	9.44e-76	279
ON023021.1_SEVAD_B1-B.p1733_consensus	ON023021.1_SEVAD_B1-B.p1733_consensus	100.000	151	0	0	3720	3870	3720	3870	9.44e-76	279
ON023021.1_SEVAD_B1-B.p1733_consensus	ON023021.1_SEVAD_B1-B.p1733_consensus	100.000	151	0	0	3970	4120	3970	4120	9.44e-76	279
ON023021.1_SEVAD_B1-B.p1733_consensus	ON023019.1_XX-000098-54E1-ITD01-01-01-DB01-04-05.p2058_consensus	98.322	298	5	0	1	298	398	695	3.95e-149	523
ON023021.1_SEVAD_B1-B.p1733_consensus	ON023019.1_XX-000098-54E1-ITD01-01-01-DB01-04-05.p2058_consensus	99.487	195	1	0	2300	2494	2697	2891	1.52e-98	355
ON023021.1_SEVAD_B1-B.p1733_consensus	ON023019.1_XX-000098-54E1-ITD01-01-01-DB01-04-05.p2058_consensus	100.000	150	0	0	3971	4120	4368	4517	3.39e-75	278
ON023021.1_SEVAD_B1-B.p1733_consensus	ON023019.1_XX-000098-54E1-ITD01-01-01-DB01-04-05.p2058_consensus	98.675	151	2	0	1291	1441	1688	1838	2.04e-72	268
ON023021.1_SEVAD_B1-B.p1733_consensus	ON023019.1_XX-000098-54E1-ITD01-01-01-DB01-04-05.p2058_consensus	98.013	151	3	0	3720	3870	4117	4267	9.51e-71	263
ON023021.1_SEVAD_B1-B.p1733_consensus	ON023019.1_XX-000098-54E1-ITD01-01-01-DB01-04-05.p2058_consensus	98.571	140	2	0	1029	1168	1426	1565	2.66e-66	248
ON023021.1_SEVAD_B1-B.p1733_consensus	ON023025.1_SEVAD_1BF7.p1894_consensus	98.322	298	5	0	1	298	178	475	3.95e-149	523
ON023021.1_SEVAD_B1-B.p1733_consensus	ON023025.1_SEVAD_1BF7.p1894_consensus	99.213	254	2	0	2300	2553	2477	2730	1.13e-129	459
ON023021.1_SEVAD_B1-B.p1733_consensus	ON023025.1_SEVAD_1BF7.p1894_consensus	100.000	150	0	0	3971	4120	4148	4297	3.39e-75	278
ON023021.1_SEVAD_B1-B.p1733_consensus	ON023025.1_SEVAD_1BF7.p1894_consensus	100.000	96	0	0	1018	1113	1195	1290	3.54e-45	178
ON023021.1_SEVAD_B1-B.p1733_consensus	ON023025.1_SEVAD_1BF7.p1894_consensus	98.592	71	1	0	1291	1361	1468	1538	1.30e-29	126
ON023021.1_SEVAD_B1-B.p1733_consensus	ON023025.1_SEVAD_1BF7.p1894_consensus	100.000	40	0	0	1402	1441	1579	1618	4.78e-14	75.0
ON023021.1_SEVAD_B1-B.p1733_consensus	ON023025.1_XX-000083-54E1-FBD01-01-01-DB01-03-19.p2058_consensus	97.987	298	6	0	1	298	387	684	1.84e-147	518
ON023021.1_SEVAD_B1-B.p1733_consensus	ON023025.1_XX-000083-54E1-FBD01-01-01-DB01-03-19.p2058_consensus	99.213	254	2	0	2300	2553	2686	2939	1.13e-129	459
ON023021.1_SEVAD_B1-B.p1733_consensus	ON023025.1_XX-000083-54E1-FBD01-01-01-DB01-03-19.p2058_consensus	99.338	151	1	0	1291	1441	1677	1827	4.39e-74	274
ON023021.1_SEVAD_B1-B.p1733_consensus	ON023025.1_XX-000083-54E1-FBD01-01-01-DB01-03-19.p2058_consensus	98.013	151	3	0	3720	3870	4106	4256	9.51e-71	263
ON023021.1_SEVAD_B1-B.p1733_consensus	ON023025.1_XX-000083-54E1-FBD01-01-01-DB01-03-19.p2058_consensus	98.039	102	2	0	4019	4120	4405	4506	3.54e-45	178
ON023021.1_SEVAD_B1-B.p1733_consensus	ON023025.1_MODAD_1BF3.p1894_consensus	97.987	298	6	0	1	298	168	465	1.84e-147	518
ON023021.1_SEVAD_B1-B.p1733_consensus	ON023025.1_MODAD_1BF3.p1894_consensus	98.361	244	4	0	2310	2553	2477	2720	2.46e-121	431
ON023021.1_SEVAD_B1-B.p1733_consensus	ON023025.1_MODAD_1BF3.p1894_consensus	100.000	115	0	0	1018	1132	1185	1299	9.71e-56	213
ON023021.1_SEVAD_B1-B.p1733_consensus	ON023025.1_MODAD_1BF3.p1894_consensus	98.246	57	1	0	1291	1347	1458	1514	7.89e-22	100
ON023021.1_SEVAD_B1-B.p1733_consensus	ON023019.1_MODAD_1BH2.p1894_consensus	97.987	298	6	0	1	298	204	501	1.84e-147	518
ON023021.1_SEVAD_B1-B.p1733_consensus	ON023019.1_MODAD_1BH2.p1894_consensus	99.070	215	2	0	2300	2514	2503	2717	5.41e-108	387
ON023021.1_SEVAD_B1-B.p1733_consensus	ON023019.1_MODAD_1BH2.p1894_consensus	98.013	151	3	0	3720	3870	3923	4073	7.35e-72	267
ON023021.1_SEVAD_B1-B.p1733_consensus	ON023019.1_MODAD_1BH2.p1894_consensus	98.013	151	3	0	1018	1168	1221	1371	2.64e-71	265
ON023021.1_SEVAD_B1-B.p1733_consensus	ON023019.1_MODAD_1BH2.p1894_consensus	99.248	133	1	0	1291	1423	1494	1626	4.45e-64	241
